Z,EstimatedZ
0.598750028439099,0.47000000000000003
0.6047500287240837,0.47000000000000003
0.6047500287240837,0.48
0.6025000286172144,0.51
0.6072500288428273,0.58
0.607750028866576,0.63
0.6055000287597068,0.6
0.604250028700335,0.55
0.604250028700335,0.54
0.5885000279522501,0.53
0.6040000286884606,0.53
0.6047500287240837,0.51
0.6060000287834555,0.51
0.605000028735958,0.53
0.6045000287122093,0.52
0.6057500287715811,0.5
0.6052500287478324,0.5
0.5890000279759988,0.5
0.6010000285459682,0.46
0.5875000279047526,0.46
0.5857500278216321,0.46
0.6057500287715811,0.44
0.6055000287597068,0.51
0.6057500287715811,0.51
0.605000028735958,0.51
0.6057500287715811,0.5
0.6057500287715811,0.5
0.604250028700335,0.51
0.6047500287240837,0.51
0.6057500287715811,0.52
0.6062500287953299,0.51
0.6057500287715811,0.51
0.6052500287478324,0.51
0.6055000287597068,0.51
0.6047500287240837,0.52
0.6065000288072042,0.52
0.6065000288072042,0.52
0.6062500287953299,0.52
0.6057500287715811,0.51
0.587750027916627,0.5
0.5870000278810039,0.5
0.6057500287715811,0.5
0.6065000288072042,0.53
0.6070000288309529,0.52
0.6067500288190786,0.51
0.6062500287953299,0.51
0.6070000288309529,0.52
0.6067500288190786,0.53
0.6065000288072042,0.51
0.6065000288072042,0.52
0.6067500288190786,0.5
0.6070000288309529,0.5
0.6065000288072042,0.51
0.6065000288072042,0.51
0.6065000288072042,0.52
0.6065000288072042,0.49
0.6057500287715811,0.51
0.6065000288072042,0.53
0.6055000287597068,0.52
0.605000028735958,0.48
0.6072500288428273,0.47000000000000003
0.6070000288309529,0.48
0.6040000286884606,0.47000000000000003
0.5880000279285014,0.49
0.6057500287715811,0.52
0.6060000287834555,0.52
0.6065000288072042,0.52
0.6060000287834555,0.52
0.6057500287715811,0.53
0.6060000287834555,0.52
0.6062500287953299,0.52
0.6060000287834555,0.52
0.6055000287597068,0.52
0.5907500280591194,0.52
0.5872500278928783,0.52
0.6057500287715811,0.52
0.5882500279403757,0.54
0.6060000287834555,0.54
0.6070000288309529,0.53
0.6067500288190786,0.53
0.6065000288072042,0.53
0.6062500287953299,0.5
0.6060000287834555,0.5700000000000001
0.605000028735958,0.52
0.5067500240693334,0.51
0.6057500287715811,0.55
0.590500028047245,0.63
0.5907500280591194,0.6
0.5897500280116219,0.59
0.5900000280234963,0.61
0.5897500280116219,0.59
0.5900000280234963,0.5
0.5870000278810039,0.48
0.6057500287715811,0.53
0.6062500287953299,0.52
0.5922500281303655,0.53
0.5892500279878732,0.51
0.6060000287834555,0.53
0.5887500279641245,0.51
0.5907500280591194,0.54
0.6060000287834555,0.53
0.6057500287715811,0.53
0.6062500287953299,0.54
0.6067500288190786,0.53
0.6062500287953299,0.52
0.6060000287834555,0.53
0.5952500282728579,0.52
0.6055000287597068,0.54
0.6057500287715811,0.52
0.6057500287715811,0.54
0.6060000287834555,0.55
0.6062500287953299,0.55
0.6065000288072042,0.54
0.598750028439099,0.53
0.6065000288072042,0.54
0.6055000287597068,0.53
0.6067500288190786,0.55
0.6055000287597068,0.54
0.6067500288190786,0.54
0.6062500287953299,0.55
0.6065000288072042,0.56
0.6055000287597068,0.55
0.6055000287597068,0.54
0.6062500287953299,0.55
0.6065000288072042,0.55
0.6060000287834555,0.54
0.6045000287122093,0.55
0.6067500288190786,0.56
0.6060000287834555,0.56
0.6057500287715811,0.55
0.6060000287834555,0.53
0.6057500287715811,0.53
0.6052500287478324,0.55
0.6055000287597068,0.54
0.6045000287122093,0.55
0.6057500287715811,0.53
0.605000028735958,0.53
0.6060000287834555,0.54
0.6062500287953299,0.53
0.5880000279285014,0.51
0.604250028700335,0.52
0.605000028735958,0.53
0.5955000282847323,0.5
0.5880000279285014,0.53
0.5867500278691296,0.5
0.5870000278810039,0.5
0.6005000285222195,0.47000000000000003
0.6027500286290888,0.47000000000000003
0.6025000286172144,0.49
0.60225002860534,0.49
0.6037500286765862,0.51
0.0,0.43
0.0,0.41000000000000003
0.0,0.42
0.0,0.46
0.0,0.41000000000000003
0.5892500279878732,0.59
0.590500028047245,0.58
0.6055000287597068,0.58
0.6060000287834555,0.54
0.6060000287834555,0.52
0.6060000287834555,0.51
0.604250028700335,0.51
0.0,0.4
0.0,0.42
0.0,0.43
0.0,0.43
0.0,0.44
0.0,0.43
0.0,0.44
0.0,0.44
0.49875002368935384,0.45
0.5380000255536288,0.47000000000000003
0.5860000278335065,0.51
0.587750027916627,0.5
0.5875000279047526,0.5
0.5875000279047526,0.51
0.5867500278691296,0.48
0.5845000277622603,0.49
0.5860000278335065,0.46
0.5792500275128987,0.45
0.5722500271804165,0.45
0.5535000262898393,0.46
0.5500000261235982,0.46
0.545750025921734,0.45
0.5350000254111364,0.44
0.5325000252923928,0.44
0.5287500251142774,0.44
0.5180000246036798,0.43
0.5237500248767901,0.42
0.5310000252211466,0.42
0.0,0.44
0.0,0.42
0.0,0.42
0.0,0.42
0.0,0.44
0.0,0.41000000000000003
0.0,0.43
0.0,0.42
0.0,0.43
0.0,0.44
0.0,0.42
0.4982500236656051,0.45
0.0,0.43
0.0,0.43
0.0,0.44
0.0,0.43
0.0,0.43
0.0,0.42
0.0,0.42
0.0,0.43
0.0,0.42
0.0,0.43
0.0,0.42
0.0,0.44
0.0,0.43
0.5050000239862129,0.44
0.5117500243068207,0.44
0.5235000248649158,0.45
0.5227500248292927,0.42
0.5282500250905287,0.43
0.0,0.43
0.0,0.43
0.0,0.42
0.0,0.42
0.0,0.42
0.0,0.41000000000000003
